ProductID	ProductType	ProductGroup	ProductName	ProductName2	PriceBand	PriceGroup	VATRate	Measure	CostPricePerSKU	GrossSellPrice	BarCode	PLU	PLU2	SKUName	BINNumber	KPText	CommissionPercentage	AllowZeroPrice	UseStandardVAT	AwardCRMPoints	ChargePerMinute	ExcludeFromReceipt	PromptForDescription	SellByWeight	ServiceChargeExempt	PrintToKPStandalone	IsMain	ProductInfo	RezlynxCode	MeasureCostPricePerSKU	ProhibitSalesWhenUnderStocked	IsUseBatchSales	CookTimeSeconds	ShelfLifeSeconds	IsDisplayAfterProduced	IsBatchSalesProduceOnSale	AlcoholPercent	UnitVolume	AllowDiscount	ItemCookCount	SelfServiceFood	SelfServiceDrink	IsChooseLater	KP1	KP2	KP3	KP4	KP5	KP6	KP7	KP8	KP9	KP10	KP11	KP12	KP13	KP14	KP15	KP16	HideMeasureShortNameFromReceipt	ThirdPartyCRMPointsValue	ExtraReceiptText	CRMPointsValue	IsAvailableThroughTevalisAPI	IsAlcohol	CRMCode	ReportCategory	Region	Vintage	StockWarningLevel
1657	Beverage	Non Alcoholic	Coca-Cola No Sugar		Master Price Band	Standard	GST	Glass	0	4.60					0		0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			-1	TRUE	FALSE	0	0	FALSE	FALSE	0	0	TRUE	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0		1	FALSE	FALSE		Not Set			1
1657	Beverage	Non Alcoholic	Coca-Cola No Sugar		Master Price Band	Standard	GST	Jug		8.20																				-1																																								
1657	Beverage	Non Alcoholic	Coca-Cola No Sugar		Master Price Band	Standard	GST	Kids		4.00																				-1																																								
1657	Beverage	Non Alcoholic	Coca-Cola No Sugar		Master Price Band	Standard	GST	Pint		5.70																				-1																																								
1652	Beverage	Non Alcoholic	Cranberry Juice		Master Price Band	Standard	GST	Glass	0	5.70					0		0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			-1	TRUE	FALSE	0	0	FALSE	FALSE	0	0	TRUE	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0		1	FALSE	FALSE		Not Set			1
1652	Beverage	Non Alcoholic	Cranberry Juice		Master Price Band	Standard	GST	Jug		10.20																				-1																																								
1652	Beverage	Non Alcoholic	Cranberry Juice		Master Price Band	Standard	GST	Kids		4.00																				-1																																								
1652	Beverage	Non Alcoholic	Cranberry Juice		Master Price Band	Standard	GST	Pint		6.20																				-1																																								
1660	Beverage	Non Alcoholic	Ginger Ale		Master Price Band	Standard	GST	Glass	0	4.60					0		0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			-1	TRUE	FALSE	0	0	FALSE	FALSE	0	0	TRUE	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0		1	FALSE	FALSE		Not Set			1
1660	Beverage	Non Alcoholic	Ginger Ale		Master Price Band	Standard	GST	Jug		8.20																				-1																																								
